cluster_id,cluster_size,customers,shared_device_count,shared_ip_count,cluster_fraud_rate
21,7,"['CUST_01703', 'CUST_06257', 'CUST_05416', 'CUST_04667', 'CUST_00699', 'CUST_04050', 'CUST_05053']",2,1,1.0
22,8,"['CUST_01333', 'CUST_04211', 'CUST_00785', 'CUST_02585', 'CUST_03297', 'CUST_00900', 'CUST_04894', 'CUST_05894']",3,1,1.0
23,10,"['CUST_05360', 'CUST_03450', 'CUST_01613', 'CUST_06526', 'CUST_00796', 'CUST_01859', 'CUST_02552', 'CUST_05807', 'CUST_06455', 'CUST_03457']",2,1,1.0
24,9,"['CUST_03475', 'CUST_04616', 'CUST_03413', 'CUST_07651', 'CUST_05411', 'CUST_04540', 'CUST_02593', 'CUST_05345', 'CUST_00896']",2,1,1.0
25,10,"['CUST_02686', 'CUST_03037', 'CUST_07468', 'CUST_03427', 'CUST_07412', 'CUST_01619', 'CUST_00943', 'CUST_01222', 'CUST_05150', 'CUST_07938']",2,2,1.0
26,6,"['CUST_07069', 'CUST_03808', 'CUST_07500', 'CUST_00955', 'CUST_07151', 'CUST_06218']",2,2,1.0
27,8,"['CUST_07081', 'CUST_01774', 'CUST_02626', 'CUST_03053', 'CUST_04295', 'CUST_06658', 'CUST_02712', 'CUST_01083']",1,1,1.0
28,6,"['CUST_05114', 'CUST_07482', 'CUST_06493', 'CUST_02693', 'CUST_01089', 'CUST_07052']",1,1,1.0
29,9,"['CUST_04731', 'CUST_04769', 'CUST_04624', 'CUST_01118', 'CUST_07783', 'CUST_06970', 'CUST_01150', 'CUST_04335', 'CUST_07210']",2,1,1.0
30,8,"['CUST_06932', 'CUST_02590', 'CUST_01172', 'CUST_03957', 'CUST_05845', 'CUST_04678', 'CUST_06321', 'CUST_05175']",2,2,1.0
31,6,"['CUST_05228', 'CUST_01179', 'CUST_02636', 'CUST_07566', 'CUST_06311', 'CUST_03877']",1,2,1.0
32,7,"['CUST_04849', 'CUST_02199', 'CUST_01228', 'CUST_05471', 'CUST_02725', 'CUST_07268', 'CUST_04962']",1,1,1.0
33,10,"['CUST_01262', 'CUST_06418', 'CUST_04169', 'CUST_06183', 'CUST_04167', 'CUST_03694', 'CUST_07911', 'CUST_02720', 'CUST_02529', 'CUST_05605']",1,1,1.0
34,7,"['CUST_06179', 'CUST_01850', 'CUST_05421', 'CUST_03589', 'CUST_06032', 'CUST_01342', 'CUST_03042']",2,1,1.0
35,8,"['CUST_07347', 'CUST_02595', 'CUST_03572', 'CUST_04558', 'CUST_07085', 'CUST_05263', 'CUST_02901', 'CUST_01439']",2,2,1.0
36,9,"['CUST_06613', 'CUST_03519', 'CUST_03770', 'CUST_01662', 'CUST_04993', 'CUST_03173', 'CUST_06391', 'CUST_05932', 'CUST_05911']",1,1,1.0
37,6,"['CUST_02165', 'CUST_06538', 'CUST_07124', 'CUST_03277', 'CUST_05621', 'CUST_01796']",1,1,1.0
38,8,"['CUST_07401', 'CUST_02149', 'CUST_07065', 'CUST_01914', 'CUST_05500', 'CUST_03488', 'CUST_04481', 'CUST_03558']",3,2,1.0
39,5,"['CUST_07613', 'CUST_04031', 'CUST_06114', 'CUST_01969', 'CUST_05785']",1,1,1.0
40,8,"['CUST_06068', 'CUST_02493', 'CUST_07600', 'CUST_07456', 'CUST_04910', 'CUST_06812', 'CUST_06735', 'CUST_03419']",1,2,1.0
41,6,"['CUST_07285', 'CUST_07597', 'CUST_02719', 'CUST_03988', 'CUST_02733', 'CUST_07461']",1,1,1.0
42,5,"['CUST_05139', 'CUST_07443', 'CUST_03221', 'CUST_06035', 'CUST_05976']",1,1,1.0
