customer_id,account_age_days,avg_transaction_amount,transaction_frequency_per_week,historical_chargebacks,historical_refunds,home_city,home_country
CUST_00046,1227,232.85,3.56,0,0,Mumbai,IN
CUST_00047,1001,451.74,4.23,0,0,Hyderabad,IN
CUST_00048,230,272.39,0.56,0,0,Mumbai,IN
CUST_00049,1800,257.69,1.63,0,1,Hyderabad,IN
CUST_00050,491,556.25,3.32,0,0,Pune,IN
CUST_00051,494,579.21,1.24,0,1,Mumbai,IN
CUST_00052,176,513.24,0.88,0,0,Delhi,IN
CUST_00053,1672,907.52,5.19,1,1,Ahmedabad,IN
CUST_00054,1558,187.85,1.09,0,0,Delhi,IN
CUST_00055,263,609.79,3.03,0,0,Bangalore,IN
CUST_00056,1940,706.65,6.06,0,0,Ahmedabad,IN
CUST_00057,543,984.11,1.94,0,1,Bangalore,IN
CUST_00058,1976,838.22,2.83,1,0,Kolkata,IN
CUST_00059,1903,270.66,10.19,0,0,Chennai,IN
CUST_00060,1461,133.34,1.78,1,0,Chennai,IN
CUST_00061,818,521.2,1.69,0,0,Pune,IN
CUST_00062,898,1056.02,6.9,0,0,Hyderabad,IN
CUST_00063,248,539.15,1.34,0,0,Ahmedabad,IN
CUST_00064,461,573.36,10.57,0,2,Chennai,IN
CUST_00065,693,1790.75,0.27,0,0,Delhi,IN
CUST_00066,1205,561.45,1.73,0,1,Mumbai,IN
CUST_00067,1206,153.18,3.61,0,0,Chennai,IN
CUST_00068,15,903.28,1.91,0,0,Chennai,IN
CUST_00069,1450,394.46,7.71,0,0,Delhi,IN
CUST_00070,469,654.25,3.3,0,1,Mumbai,IN
CUST_00071,1855,1565.48,0.56,0,0,Delhi,IN
CUST_00072,1761,351.09,2.07,0,0,Mumbai,IN
CUST_00073,146,1826.95,0.99,0,0,Hyderabad,IN
CUST_00074,571,1544.86,0.63,0,1,Chennai,IN
CUST_00075,439,450.39,1.7,0,0,Ahmedabad,IN
CUST_00076,1482,1112.33,2.52,0,0,Bangalore,IN
CUST_00077,498,427.64,2.62,0,1,Ahmedabad,IN
CUST_00078,1654,533.5,4.01,0,0,Ahmedabad,IN
CUST_00079,390,320.35,9.22,0,1,Kolkata,IN
CUST_00080,199,443.08,3.82,0,1,Delhi,IN
CUST_00081,726,350.55,2.92,0,0,Kolkata,IN
CUST_00082,842,326.18,4.53,0,0,Kolkata,IN
CUST_00083,1770,959.5,6.5,0,0,Ahmedabad,IN
CUST_00084,1380,870.44,3.93,0,0,Mumbai,IN
CUST_00085,125,725.03,1.36,4,0,Delhi,IN
CUST_00086,1492,485.59,2.73,0,1,Kolkata,IN
CUST_00087,1640,308.45,5.49,0,0,Hyderabad,IN
CUST_00088,510,423.11,5.29,2,2,Delhi,IN
CUST_00089,390,370.35,3.04,0,1,Chennai,IN
CUST_00090,288,1228.85,2.54,0,1,Ahmedabad,IN
CUST_00091,376,416.77,4.55,0,1,Kolkata,IN
CUST_00092,948,618.26,2.26,0,0,Pune,IN
CUST_00093,1791,1879.24,5.18,1,1,Chennai,IN
CUST_00094,908,243.66,0.81,0,0,Delhi,IN
CUST_00095,104,845.12,4.03,0,1,Delhi,IN
CUST_00096,1985,488.54,1.13,0,2,Mumbai,IN
CUST_00097,1898,114.09,7.73,0,1,Delhi,IN
CUST_00098,341,276.48,1.93,0,0,Chennai,IN
CUST_00099,995,757.25,6.16,0,0,Kolkata,IN
CUST_00100,438,584.92,1.64,0,1,Ahmedabad,IN
CUST_00101,1849,728.78,4.6,0,0,Kolkata,IN
CUST_00102,338,178.81,0.64,3,0,Mumbai,IN
CUST_00103,5,309.53,6.17,1,1,Kolkata,IN
CUST_00104,544,612.55,6.58,2,0,Kolkata,IN
CUST_00105,585,398.77,2.49,0,0,Ahmedabad,IN
CUST_00106,1427,617.64,1.22,0,0,Kolkata,IN
CUST_00107,318,695.67,2.68,0,0,Ahmedabad,IN
CUST_00108,608,798.79,1.8,0,0,Chennai,IN
CUST_00109,1984,517.37,4.93,0,0,Chennai,IN
CUST_00110,1187,527.62,1.28,0,0,Mumbai,IN
CUST_00111,1532,2423.66,3.37,0,0,Mumbai,IN
CUST_00112,118,2224.37,1.29,0,0,Hyderabad,IN
CUST_00113,1197,455.93,4.91,0,0,Mumbai,IN
CUST_00114,1030,273.74,1.51,0,1,Ahmedabad,IN
CUST_00115,117,1015.18,0.38,0,0,Bangalore,IN
CUST_00116,1744,625.92,8.18,0,0,Delhi,IN
CUST_00117,141,735.05,4.89,0,1,Bangalore,IN
CUST_00118,1383,195.55,7.99,0,1,Delhi,IN
CUST_00119,827,468.0,1.99,4,0,Chennai,IN
CUST_00120,1929,148.53,6.15,1,1,Delhi,IN
CUST_00121,1186,597.61,3.08,0,1,Chennai,IN
CUST_00122,1269,161.4,1.51,0,1,Mumbai,IN
CUST_00123,859,590.86,3.13,0,0,Delhi,IN
CUST_00124,1915,494.56,2.59,0,1,Hyderabad,IN
CUST_00125,419,395.79,0.51,0,0,Pune,IN
CUST_00126,489,536.04,3.63,0,0,Hyderabad,IN
CUST_00127,811,1035.16,6.83,0,1,Pune,IN
CUST_00128,1376,621.8,1.31,1,0,Bangalore,IN
CUST_00129,937,534.0,6.87,0,0,Pune,IN
CUST_00130,1903,2085.0,7.67,1,1,Hyderabad,IN
CUST_00131,20,241.23,2.01,0,0,Delhi,IN
CUST_00132,1273,774.15,6.2,0,0,Ahmedabad,IN
CUST_00133,151,363.74,1.89,0,1,Delhi,IN
CUST_00134,1037,1033.7,0.41,0,0,Chennai,IN
CUST_00135,272,916.21,2.24,0,0,Pune,IN
CUST_00136,1805,1410.43,2.65,0,1,Hyderabad,IN
CUST_00137,1801,979.54,3.2,0,0,Delhi,IN
CUST_00138,757,149.55,2.39,0,0,Chennai,IN
CUST_00139,324,490.62,3.36,0,0,Pune,IN
CUST_00140,1708,197.72,4.03,0,0,Ahmedabad,IN
CUST_00141,1253,227.95,3.57,0,0,Pune,IN
CUST_00142,1368,471.6,4.84,0,0,Mumbai,IN
CUST_00143,1909,360.44,1.69,0,0,Pune,IN
CUST_00144,1923,339.96,1.26,0,1,Delhi,IN
CUST_00145,542,180.57,2.15,0,0,Bangalore,IN
CUST_00146,1823,1949.46,2.57,0,0,Delhi,IN
CUST_00147,1521,706.42,5.63,0,1,Delhi,IN
CUST_00148,558,455.49,2.1,0,0,Bangalore,IN
CUST_00149,1239,294.27,3.8,0,1,Pune,IN
CUST_00150,1470,406.45,0.17,0,0,Chennai,IN
CUST_00151,417,317.8,0.2,0,0,Hyderabad,IN
CUST_00152,1036,737.74,3.15,0,0,Pune,IN
CUST_00153,515,249.49,2.66,1,0,Ahmedabad,IN
CUST_00154,190,160.05,2.92,0,0,Mumbai,IN
CUST_00155,1699,432.32,2.41,0,0,Kolkata,IN
CUST_00156,91,313.37,0.94,0,0,Pune,IN
CUST_00157,684,574.07,4.71,0,1,Mumbai,IN
CUST_00158,1305,490.01,6.6,0,0,Bangalore,IN
CUST_00159,331,2596.79,5.02,0,0,Pune,IN
CUST_00160,1130,238.39,2.15,0,1,Ahmedabad,IN
CUST_00161,1149,1308.99,0.72,0,0,Kolkata,IN
CUST_00162,230,185.12,3.76,0,0,Mumbai,IN
CUST_00163,1936,357.57,1.47,0,0,Delhi,IN
CUST_00164,1118,325.49,1.17,0,1,Bangalore,IN
CUST_00165,1710,85.46,4.07,0,0,Mumbai,IN
CUST_00166,1193,416.85,1.12,0,2,Hyderabad,IN
CUST_00167,881,581.8,3.07,0,0,Bangalore,IN
CUST_00168,86,699.69,1.04,0,0,Bangalore,IN
CUST_00169,747,2059.72,7.13,0,1,Pune,IN
CUST_00170,1841,309.87,3.78,0,0,Mumbai,IN
CUST_00171,431,599.34,0.06,5,1,Hyderabad,IN
CUST_00172,1366,590.99,1.13,0,0,Chennai,IN
CUST_00173,725,221.98,3.06,0,0,Delhi,IN
CUST_00174,1995,312.22,2.59,0,0,Kolkata,IN
CUST_00175,1896,323.31,4.28,0,0,Bangalore,IN
CUST_00176,1771,713.99,6.46,0,0,Chennai,IN
CUST_00177,2000,142.71,0.99,0,0,Bangalore,IN
CUST_00178,1806,638.93,1.5,0,0,Bangalore,IN
CUST_00179,51,693.42,6.98,0,0,Kolkata,IN
CUST_00180,1509,624.11,1.78,0,0,Bangalore,IN
CUST_00181,1603,394.28,1.93,1,1,Hyderabad,IN
CUST_00182,1643,603.56,9.06,0,0,Kolkata,IN
CUST_00183,547,407.83,4.82,0,0,Chennai,IN
CUST_00184,1613,118.31,1.01,0,0,Bangalore,IN
CUST_00185,784,1028.77,1.2,0,0,Delhi,IN
CUST_00186,1759,619.46,2.1,0,0,Mumbai,IN
CUST_00187,456,920.29,2.69,5,0,Ahmedabad,IN
CUST_00188,1673,175.04,5.43,0,0,Chennai,IN
CUST_00189,717,703.85,5.78,0,0,Ahmedabad,IN
CUST_00190,1681,559.65,3.01,0,1,Pune,IN
CUST_00191,457,229.53,1.23,2,1,Chennai,IN
CUST_00192,1352,518.06,1.68,0,1,Mumbai,IN
CUST_00193,817,386.35,4.47,0,0,Chennai,IN
CUST_00194,571,407.93,1.04,0,0,Hyderabad,IN
CUST_00195,1981,365.33,1.58,0,0,Delhi,IN
CUST_00196,720,905.71,6.15,0,0,Pune,IN
CUST_00197,1392,157.19,3.08,0,0,Kolkata,IN
CUST_00198,1924,141.87,6.66,0,0,Hyderabad,IN
CUST_00199,237,559.12,11.91,0,1,Mumbai,IN
CUST_00200,366,531.96,4.19,0,0,Pune,IN
CUST_00201,79,573.53,3.46,2,1,Pune,IN
CUST_00202,1222,1839.81,6.12,0,1,Delhi,IN
CUST_00203,708,560.44,2.7,0,0,Kolkata,IN
CUST_00204,894,246.48,2.26,0,0,Hyderabad,IN
CUST_00205,789,2913.42,3.66,0,0,Delhi,IN
CUST_00206,522,441.15,1.76,0,0,Chennai,IN
CUST_00207,1452,894.78,0.74,1,0,Mumbai,IN
CUST_00208,4,199.03,0.57,0,0,Kolkata,IN
CUST_00209,746,410.54,2.05,0,2,Chennai,IN
CUST_00210,144,407.11,4.4,0,0,Kolkata,IN
CUST_00211,1277,441.4,8.06,0,0,Hyderabad,IN
CUST_00212,1359,1084.2,1.0,0,0,Hyderabad,IN
CUST_00213,1475,707.45,2.01,0,0,Delhi,IN
CUST_00214,1039,227.11,2.5,0,0,Pune,IN
CUST_00215,1366,550.47,2.53,0,0,Pune,IN
CUST_00216,669,484.5,2.28,0,1,Kolkata,IN
CUST_00217,1428,549.23,2.44,0,0,Kolkata,IN
CUST_00218,1136,336.84,6.27,0,0,Pune,IN
CUST_00219,393,76.59,5.77,0,1,Bangalore,IN
CUST_00220,1362,115.43,3.1,0,1,Kolkata,IN
CUST_00221,1388,412.25,0.64,0,0,Kolkata,IN
CUST_00222,1261,285.87,1.86,0,1,Bangalore,IN
CUST_00223,832,469.32,4.78,0,1,Pune,IN
CUST_00224,623,1200.01,1.37,0,0,Mumbai,IN
CUST_00225,431,295.95,1.62,0,1,Pune,IN
CUST_00226,1610,694.06,1.88,0,2,Kolkata,IN
CUST_00227,953,419.7,4.14,0,0,Hyderabad,IN
CUST_00228,906,672.49,7.24,0,0,Ahmedabad,IN
CUST_00229,1047,243.48,3.83,0,0,Chennai,IN
CUST_00230,1626,396.75,0.46,0,0,Ahmedabad,IN
CUST_00231,1350,1694.73,1.62,0,0,Bangalore,IN
CUST_00232,582,1026.91,6.01,0,0,Delhi,IN
CUST_00233,192,144.43,0.75,0,0,Hyderabad,IN
CUST_00234,1378,1683.04,1.59,0,1,Chennai,IN
CUST_00235,461,972.89,2.44,0,0,Pune,IN
CUST_00236,302,382.02,2.39,1,1,Chennai,IN
CUST_00237,95,2227.57,4.04,0,0,Mumbai,IN
CUST_00238,974,555.35,2.16,0,0,Chennai,IN
CUST_00239,933,199.95,2.7,0,1,Delhi,IN
CUST_00240,1815,565.15,1.04,0,0,Kolkata,IN
CUST_00241,1472,2006.01,4.16,0,0,Chennai,IN
CUST_00242,1013,589.47,4.93,0,0,Kolkata,IN
CUST_00243,500,244.05,3.62,0,0,Kolkata,IN
CUST_00244,1344,135.83,0.75,0,0,Bangalore,IN
CUST_00245,1829,386.21,2.9,0,0,Mumbai,IN
CUST_00246,1595,321.16,0.65,0,0,Delhi,IN
CUST_00247,449,1260.06,1.15,0,0,Kolkata,IN
CUST_00248,1647,253.51,11.85,0,0,Bangalore,IN
CUST_00249,103,526.75,2.86,0,0,Ahmedabad,IN
CUST_00250,1879,329.33,2.74,0,0,Chennai,IN
CUST_00251,935,151.0,4.94,0,0,Delhi,IN
CUST_00252,1642,480.83,7.74,0,2,Bangalore,IN
CUST_00253,1368,165.58,1.8,0,0,Ahmedabad,IN
CUST_00254,1946,767.15,4.9,0,0,Hyderabad,IN
CUST_00255,1255,143.45,5.43,0,1,Ahmedabad,IN
CUST_00256,1702,467.73,3.9,0,0,Kolkata,IN
CUST_00257,1838,1038.15,2.74,0,0,Ahmedabad,IN
CUST_00258,1524,729.13,5.23,0,1,Bangalore,IN
CUST_00259,922,358.66,3.94,0,0,Ahmedabad,IN
CUST_00260,1540,665.63,2.92,0,0,Pune,IN
CUST_00261,1721,873.88,2.77,0,0,Chennai,IN
CUST_00262,1569,231.19,5.14,1,0,Pune,IN
CUST_00263,1284,1086.1,2.35,0,0,Ahmedabad,IN
CUST_00264,563,950.32,1.63,0,0,Chennai,IN
CUST_00265,159,184.27,3.6,0,0,Ahmedabad,IN
CUST_00266,481,575.65,1.68,0,0,Pune,IN
CUST_00267,688,410.46,2.77,0,0,Pune,IN
CUST_00268,1829,1356.8,2.9,0,0,Hyderabad,IN
CUST_00269,284,904.55,3.09,1,0,Delhi,IN
CUST_00270,474,521.96,5.18,0,1,Bangalore,IN
CUST_00271,1422,1160.05,1.4,0,0,Kolkata,IN
CUST_00272,1447,2463.23,1.86,0,1,Bangalore,IN
CUST_00273,132,151.82,0.41,0,0,Chennai,IN
CUST_00274,835,367.19,1.99,0,0,Kolkata,IN
CUST_00275,1112,243.65,0.97,0,0,Hyderabad,IN
CUST_00276,852,480.93,2.98,0,1,Ahmedabad,IN
CUST_00277,424,232.9,4.07,0,1,Mumbai,IN
CUST_00278,798,981.44,2.11,0,0,Kolkata,IN
CUST_00279,1755,2481.97,1.42,0,0,Mumbai,IN
CUST_00280,977,553.64,3.58,0,0,Kolkata,IN
CUST_00281,1931,164.19,2.65,0,0,Mumbai,IN
CUST_00282,612,318.56,1.57,4,0,Hyderabad,IN
CUST_00283,1748,348.22,2.19,0,0,Kolkata,IN
CUST_00284,1103,1331.89,1.55,0,0,Kolkata,IN
CUST_00285,1000,626.74,1.84,0,0,Chennai,IN
CUST_00286,559,567.96,0.56,0,1,Chennai,IN
CUST_00287,995,273.67,2.83,0,0,Kolkata,IN
CUST_00288,797,320.87,1.82,0,0,Mumbai,IN
CUST_00289,1370,720.86,5.24,0,0,Hyderabad,IN
CUST_00290,1484,435.34,1.25,0,0,Kolkata,IN
CUST_00291,1722,914.95,1.07,0,0,Bangalore,IN
CUST_00292,1884,342.98,2.96,0,1,Ahmedabad,IN
CUST_00293,1275,43.1,1.17,0,0,Bangalore,IN
CUST_00294,1858,349.81,5.12,0,0,Mumbai,IN
CUST_00295,1213,156.4,3.51,0,0,Kolkata,IN
CUST_00296,172,745.06,5.32,0,0,Mumbai,IN
CUST_00297,278,654.54,4.16,0,1,Kolkata,IN
CUST_00298,373,1039.68,5.52,0,0,Ahmedabad,IN
CUST_00299,533,312.8,3.55,0,0,Mumbai,IN
CUST_00300,671,438.35,2.8,0,1,Kolkata,IN
CUST_00301,932,304.09,3.59,0,0,Chennai,IN
CUST_00302,692,502.76,5.88,0,0,Hyderabad,IN
CUST_00303,570,873.43,0.68,0,2,Kolkata,IN
CUST_00304,517,830.79,6.66,0,1,Kolkata,IN
CUST_00305,964,572.23,3.01,0,0,Delhi,IN
CUST_00306,1535,1486.56,5.65,0,0,Mumbai,IN
CUST_00307,1950,179.64,1.73,0,0,Mumbai,IN
CUST_00308,460,564.46,1.86,0,0,Hyderabad,IN
CUST_00309,1600,556.82,5.6,0,0,Delhi,IN
CUST_00310,1545,169.66,3.28,0,1,Mumbai,IN
CUST_00311,1945,341.02,6.92,0,0,Mumbai,IN
CUST_00312,409,470.58,1.79,0,1,Chennai,IN
CUST_00313,1273,208.32,2.17,0,1,Mumbai,IN
CUST_00314,489,241.08,4.14,0,1,Bangalore,IN
CUST_00315,970,1080.63,5.99,0,0,Bangalore,IN
CUST_00316,1156,776.77,2.31,1,0,Delhi,IN
CUST_00317,953,208.7,7.29,0,1,Chennai,IN
CUST_00318,1571,477.27,3.0,0,0,Pune,IN
CUST_00319,344,299.58,1.42,0,0,Hyderabad,IN
CUST_00320,1593,205.19,6.47,0,0,Delhi,IN
CUST_00321,1976,701.94,2.44,0,0,Bangalore,IN
CUST_00322,222,626.35,3.49,0,0,Pune,IN
CUST_00323,1903,679.9,3.87,0,0,Mumbai,IN
CUST_00324,1180,565.42,4.14,0,0,Pune,IN
CUST_00325,813,239.49,2.4,0,0,Kolkata,IN
CUST_00326,156,306.9,7.86,0,0,Chennai,IN
CUST_00327,209,293.36,2.47,0,0,Chennai,IN
CUST_00328,1742,887.54,1.44,0,0,Pune,IN
CUST_00329,1631,405.93,2.45,0,0,Delhi,IN
CUST_00330,712,359.02,0.13,0,0,Mumbai,IN
CUST_00331,1355,1008.75,0.92,0,1,Kolkata,IN
CUST_00332,142,250.41,2.41,0,0,Hyderabad,IN
CUST_00333,26,2647.63,2.46,0,0,Hyderabad,IN
CUST_00334,1685,422.13,2.55,0,0,Kolkata,IN
CUST_00335,217,266.82,2.57,0,0,Ahmedabad,IN
CUST_00336,1968,244.41,1.99,0,0,Kolkata,IN
CUST_00337,1302,984.58,3.91,0,0,Hyderabad,IN
CUST_00338,1449,1312.32,4.75,0,0,Ahmedabad,IN
CUST_00339,892,1751.78,3.26,0,0,Bangalore,IN
CUST_00340,1503,922.08,3.94,0,1,Bangalore,IN
CUST_00341,1262,533.88,4.83,0,0,Pune,IN
CUST_00342,953,2106.29,1.39,0,0,Ahmedabad,IN
CUST_00343,1692,380.44,2.92,0,1,Kolkata,IN
CUST_00344,661,312.31,1.68,0,0,Pune,IN
CUST_00345,1702,239.34,1.61,3,1,Chennai,IN
CUST_00346,572,484.42,9.37,0,0,Delhi,IN
CUST_00347,500,256.4,4.26,0,0,Ahmedabad,IN
CUST_00348,1168,506.03,2.74,0,1,Ahmedabad,IN
CUST_00349,689,346.69,2.93,0,0,Kolkata,IN
CUST_00350,1013,411.51,0.46,3,2,Mumbai,IN
CUST_00351,373,946.73,4.6,0,0,Hyderabad,IN
CUST_00352,435,208.92,0.53,0,1,Ahmedabad,IN
CUST_00353,1634,2000.63,5.22,0,0,Hyderabad,IN
CUST_00354,698,479.64,0.48,0,1,Pune,IN
CUST_00355,1803,329.99,6.59,0,0,Pune,IN
CUST_00356,1139,1294.74,3.36,0,2,Pune,IN
CUST_00357,1059,304.93,1.58,0,0,Mumbai,IN
CUST_00358,176,307.93,3.18,0,0,Chennai,IN
CUST_00359,1475,401.8,3.71,0,0,Chennai,IN
CUST_00360,1001,380.15,0.19,0,0,Kolkata,IN
CUST_00361,1415,580.94,1.86,0,1,Chennai,IN
CUST_00362,1323,225.03,4.41,0,0,Ahmedabad,IN
CUST_00363,918,206.02,1.7,0,0,Ahmedabad,IN
CUST_00364,191,628.01,0.54,0,2,Mumbai,IN
CUST_00365,454,407.21,2.65,0,0,Pune,IN
CUST_00366,1417,200.72,2.03,0,0,Kolkata,IN
CUST_00367,628,1168.62,6.68,0,1,Chennai,IN
CUST_00368,970,893.51,4.53,0,0,Hyderabad,IN
CUST_00369,872,1159.51,3.31,0,0,Hyderabad,IN
CUST_00370,721,665.83,1.96,0,0,Hyderabad,IN
CUST_00371,555,642.78,2.36,0,1,Ahmedabad,IN
CUST_00372,515,480.08,2.25,0,0,Pune,IN
CUST_00373,248,238.78,2.66,0,0,Chennai,IN
CUST_00374,647,121.66,2.78,0,1,Chennai,IN
CUST_00375,1522,676.39,4.97,0,0,Delhi,IN
CUST_00376,393,64.89,1.16,1,0,Bangalore,IN
CUST_00377,1513,653.52,5.32,3,0,Chennai,IN
CUST_00378,567,237.95,3.07,0,0,Ahmedabad,IN
CUST_00379,206,312.47,2.15,0,1,Pune,IN
CUST_00380,607,573.76,2.44,3,0,Chennai,IN
CUST_00381,740,2002.97,2.91,0,0,Chennai,IN
CUST_00382,620,1028.09,2.9,0,0,Bangalore,IN
CUST_00383,1451,674.83,3.95,0,1,Mumbai,IN
CUST_00384,562,221.38,1.28,0,1,Bangalore,IN
CUST_00385,1996,606.46,2.38,0,1,Mumbai,IN
CUST_00386,1134,620.26,3.22,0,1,Mumbai,IN
CUST_00387,1429,1345.64,2.06,0,1,Pune,IN
CUST_00388,1307,967.64,5.12,0,0,Bangalore,IN
CUST_00389,211,734.33,1.97,0,0,Ahmedabad,IN
CUST_00390,1176,1290.77,2.74,0,0,Mumbai,IN
CUST_00391,962,239.83,0.92,0,0,Pune,IN
CUST_00392,903,179.82,1.15,0,0,Ahmedabad,IN
CUST_00393,378,1460.88,1.46,0,0,Hyderabad,IN
CUST_00394,518,195.16,2.84,0,0,Mumbai,IN
CUST_00395,234,301.85,1.39,1,1,Ahmedabad,IN
CUST_00396,821,2384.41,2.62,0,0,Delhi,IN
CUST_00397,152,1083.86,0.66,0,0,Ahmedabad,IN
CUST_00398,311,155.75,10.26,0,0,Mumbai,IN
CUST_00399,1662,818.61,3.84,0,1,Bangalore,IN
CUST_00400,175,895.51,2.04,0,0,Pune,IN
CUST_00401,243,648.37,1.31,0,0,Chennai,IN
CUST_00402,1242,404.85,1.16,0,0,Kolkata,IN
CUST_00403,1589,247.4,2.86,0,1,Chennai,IN
CUST_00404,923,1305.58,6.73,0,0,Kolkata,IN
CUST_00405,609,846.54,1.04,0,0,Ahmedabad,IN
CUST_00406,626,421.05,1.05,0,1,Kolkata,IN
CUST_00407,1249,724.68,1.51,0,0,Mumbai,IN
CUST_00408,1941,616.37,6.3,0,0,Delhi,IN
CUST_00409,1282,467.5,2.75,0,0,Chennai,IN
CUST_00410,542,364.82,5.64,0,0,Chennai,IN
CUST_00411,322,644.7,1.37,0,0,Delhi,IN
CUST_00412,356,309.81,5.45,0,0,Chennai,IN
CUST_00413,321,399.16,0.78,0,0,Delhi,IN
CUST_00414,837,303.37,4.4,0,0,Mumbai,IN
CUST_00415,1412,332.85,1.41,0,0,Ahmedabad,IN
CUST_00416,597,599.02,9.75,0,1,Ahmedabad,IN
CUST_00417,475,207.17,3.94,0,1,Mumbai,IN
CUST_00418,1448,658.3,5.7,0,0,Pune,IN
CUST_00419,1440,1535.14,1.57,0,0,Pune,IN
CUST_00420,146,188.88,3.16,0,0,Ahmedabad,IN
CUST_00421,1893,492.03,1.24,0,0,Chennai,IN
CUST_00422,1614,1552.13,4.91,0,1,Pune,IN
CUST_00423,871,1067.24,3.77,0,0,Chennai,IN
CUST_00424,1116,1540.52,0.92,0,0,Delhi,IN
CUST_00425,1327,299.49,2.57,0,0,Chennai,IN
CUST_00426,1861,287.44,1.48,0,1,Bangalore,IN
CUST_00427,1693,805.1,3.2,0,1,Pune,IN
CUST_00428,147,883.13,0.85,0,0,Bangalore,IN
CUST_00429,340,207.8,7.34,0,1,Mumbai,IN
CUST_00430,1219,660.71,2.69,0,0,Pune,IN
CUST_00431,900,305.94,3.7,0,2,Pune,IN
CUST_00432,960,258.66,1.11,0,1,Delhi,IN
CUST_00433,1434,521.6,1.33,0,0,Pune,IN
CUST_00434,1931,1170.59,1.6,0,0,Kolkata,IN
CUST_00435,1025,184.01,5.66,0,1,Pune,IN
CUST_00436,897,544.14,1.31,0,1,Ahmedabad,IN
CUST_00437,1225,576.94,2.77,0,0,Delhi,IN
CUST_00438,1822,442.87,0.95,0,0,Mumbai,IN
CUST_00439,1505,264.32,0.36,0,0,Kolkata,IN
CUST_00440,1237,703.17,9.43,0,0,Hyderabad,IN
CUST_00441,53,223.18,2.49,0,0,Pune,IN
CUST_00442,469,886.2,1.83,0,0,Delhi,IN
CUST_00443,1567,681.83,2.66,0,0,Mumbai,IN
CUST_00444,1181,459.79,3.77,1,1,Pune,IN
CUST_00445,1563,749.73,2.18,0,0,Mumbai,IN
CUST_00446,964,290.32,0.98,0,1,Bangalore,IN
CUST_00447,1877,1235.4,5.25,0,1,Ahmedabad,IN
CUST_00448,372,686.97,10.96,0,1,Pune,IN
CUST_00449,1301,399.38,2.52,0,1,Kolkata,IN
CUST_00450,1985,196.71,1.85,0,0,Ahmedabad,IN
CUST_00451,963,246.01,2.61,0,1,Delhi,IN
CUST_00452,837,713.93,0.38,0,0,Hyderabad,IN
CUST_00453,658,313.38,1.09,0,0,Hyderabad,IN
CUST_00454,1757,445.47,3.7,0,0,Delhi,IN
